City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Balkanabat,39.5108,54.3671,7.72,89,9,1.54,TM,1678245371
1,Vaini,-21.2,-175.2,27.09,74,40,4.63,TO,1678245372
2,Tiksi,71.6872,128.8694,-22.76,92,100,2.64,RU,1678245097
3,Batagay-Alyta,67.8006,130.4114,-25.97,85,23,0.97,RU,1678245375
4,Albany,42.6001,-73.9662,-2.46,61,68,2.24,US,1678245271
5,Souillac,-20.5167,57.5167,26.21,83,40,3.6,MU,1678245377
6,Mar del Plata,-38.0023,-57.5575,23.38,95,53,1.34,AR,1678245126
7,Rikitea,-23.1203,-134.9692,25.74,84,100,10.26,PF,1678245380
8,Cabo San Lucas,22.8909,-109.9124,23.17,53,20,1.54,MX,1678245381
9,Norman Wells,65.282,-126.8329,-19.98,71,20,3.6,CA,1678245382
10,Cherskiy,68.75,161.3,-26.46,85,98,1.36,RU,1678245384
11,Ribeira Grande,38.5167,-28.7,15.99,82,48,7.6,PT,1678245386
12,Punta Arenas,-53.15,-70.9167,5.06,70,20,5.14,CL,1678245387
13,Inongo,-1.95,18.2667,22.1,95,100,1.66,CD,1678245389
14,Ushuaia,-54.8,-68.3,1.61,92,31,2.53,AR,1678245095
15,Hobart,-42.8794,147.3294,15.92,57,75,7.72,AU,1678245391
16,Pokhara,28.2333,83.9833,21.64,24,96,1.42,NP,1678245392
17,Kruisfontein,-34.0033,24.7314,19.38,94,0,4.25,ZA,1678245394
18,Kochevo,59.5994,54.3125,-14.03,99,97,1.36,RU,1678245395
19,Avarua,-21.2078,-159.775,28.03,83,75,4.12,CK,1678245396
20,Castro,-24.7911,-50.0119,17.26,89,19,2.16,BR,1678245399
21,Butaritari,3.0707,172.7902,27.7,72,100,5.28,KI,1678245400
22,Cape Town,-33.9258,18.4232,19.65,82,2,3.58,ZA,1678244919
23,Chui,-33.6971,-53.4616,22.11,95,57,2.09,UY,1678245403
24,Angoche,-16.2325,39.9086,22.69,95,100,4.41,MZ,1678245404
25,Khatanga,71.9667,102.5,-32.15,100,97,1.38,RU,1678245217
26,Saint-François,46.4154,3.9054,0.69,93,0,2.57,FR,1678245406
27,East London,-33.0153,27.9116,21.48,88,32,6.95,ZA,1678245408
28,Vila Franca do Campo,37.7167,-25.4333,16.23,87,98,8.61,PT,1678245409
29,Coahuayana Viejo,18.7333,-103.6833,20.67,89,30,0.57,MX,1678245410
30,Ovsyanka,55.9575,92.5519,-4.32,95,100,1.75,RU,1678245412
31,Ostrovnoy,68.0531,39.5131,-14.3,96,98,2.54,RU,1678245413
32,Bluff,-46.6,168.3333,23.22,63,13,2.82,NZ,1678245414
33,Hasaki,35.7333,140.8333,20.22,56,0,6.78,JP,1678245416
34,Srednekolymsk,67.45,153.6833,-26.16,87,100,2.79,RU,1678245417
35,New Norfolk,-42.7826,147.0587,15.72,60,98,4.47,AU,1678245418
36,Thompson,55.7435,-97.8558,-21.91,84,0,1.54,CA,1678245420
37,Lorengau,-2.0226,147.2712,28.1,76,100,3.17,PG,1678245421
38,Yar-Sale,66.8333,70.8333,-28.02,97,22,4.29,RU,1678245422
39,Pangnirtung,66.1451,-65.7125,-4.28,76,29,3.03,CA,1678245424
40,Kaniama,-7.5667,24.1833,19.02,98,100,1.89,CD,1678245426
41,Manaure,11.7751,-72.4445,24.25,84,90,5.22,CO,1678245370
42,Talnakh,69.4865,88.3972,-27.73,94,100,1.75,RU,1678245429
43,Mataura,-46.1927,168.8643,23.04,28,3,3.28,NZ,1678245430
44,Baykit,61.67,96.37,-10.07,95,99,1.79,RU,1678245431
45,Beidao,34.5686,105.8933,15.8,44,0,1.82,CN,1678245433
46,Bredasdorp,-34.5322,20.0403,17.48,85,74,3.92,ZA,1678245434
47,Faanui,-16.4833,-151.75,28.5,69,60,4.5,PF,1678245436
48,Levice,48.2156,18.6071,4.16,96,100,1.96,SK,1678245437
49,Ponta do Sol,32.6667,-17.1,18.73,81,31,2.48,PT,1678245438
50,Upernavik,72.7868,-56.1549,-15.38,96,65,3.45,GL,1678245440
51,Saskylakh,71.9167,114.0833,-26.09,95,90,3.38,RU,1678245442
52,Puerto Ayora,-0.7393,-90.3518,25.31,95,100,1.34,EC,1678245444
53,Estación Coahuila,32.1939,-115.0017,17.15,26,13,2.9,MX,1678245445
54,Ouango,4.3133,22.5552,24.81,63,100,1.36,CF,1678245446
55,Korla,41.7597,86.1469,10.1,42,0,1.91,CN,1678245448
56,Rocha,-34.4833,-54.3333,20.78,97,100,1.48,UY,1678245449
57,Bethel,41.3712,-73.414,0.42,59,100,7.2,US,1678245161
58,Hong Kong,22.2855,114.1577,24.98,80,18,3.58,HK,1678245414
59,Cabedelo,-6.9811,-34.8339,26.37,79,39,5.94,BR,1678245453
60,Nyurba,63.2842,118.3319,-18.21,86,100,4.07,RU,1678245455
61,Katsuura,35.1333,140.3,17.31,54,0,6.52,JP,1678245457
62,Airai,-8.9266,125.4092,23.02,63,90,1.37,TL,1678245459
63,Isangel,-19.55,169.2667,27.44,62,55,5.65,VU,1678245460
64,Atuona,-9.8,-139.0333,26.85,74,8,5.21,PF,1678245462
65,Nouadhibou,20.931,-17.0347,19.99,64,0,5.66,MR,1678245463
66,Mahébourg,-20.4081,57.7,26.16,83,40,3.6,MU,1678245464
67,Nikolskoye,59.7035,30.7861,-6.06,91,100,4.59,RU,1678245465
68,Barrow,71.2906,-156.7887,-3.99,80,75,5.66,US,1678245467
69,Kamenka,51.3223,42.7678,0.06,99,100,2.16,RU,1678245468
70,Ambilobe,-13.2,49.05,21.8,94,17,1.04,MG,1678245470
71,Uyuni,-20.4597,-66.825,13.82,50,100,5.13,BO,1678245471
72,Broome,42.2506,-75.833,-0.26,74,100,9.26,US,1678245473
73,Kaitangata,-46.2817,169.8464,22.09,56,35,3.74,NZ,1678245475
74,Mount Gambier,-37.8333,140.7667,14.39,50,99,5.21,AU,1678245477
75,Tuatapere,-46.1333,167.6833,24.33,37,6,1.47,NZ,1678245478
76,Campo Grande,-20.4428,-54.6464,22.75,88,40,1.03,BR,1678245283
77,Port Alfred,-33.5906,26.891,22.32,87,4,2.24,ZA,1678245481
78,Poum,-20.2333,164.0167,27.37,68,5,9.08,NC,1678245482
79,Zirándaro de los Chávez,18.45,-100.9833,27.98,45,0,2.21,MX,1678245485
80,Atambua,-9.1061,124.8925,26.84,73,92,2.21,ID,1678245486
81,Oktyabr'skoye,43.0645,44.7417,-2.92,86,100,1.0,RU,1678245487
82,Port Elizabeth,-33.918,25.5701,22.16,82,0,4.12,ZA,1678245489
83,Longyearbyen,78.2186,15.6401,-12.09,67,40,9.26,SJ,1678245490
84,Saint-Philippe,-21.3585,55.7679,24.77,86,96,5.11,RE,1678245491
85,Margate,51.3813,1.3862,3.28,79,100,3.13,GB,1678245493
86,Tianpeng,30.9866,103.9393,18.26,50,51,2.02,CN,1678245494
87,San Patricio,28.017,-97.5169,23.83,89,2,5.08,US,1678245496
88,Lüderitz,-26.6481,15.1594,15.35,83,0,2.72,NA,1678245498
89,Linxia Chengguanzhen,35.6003,103.2064,9.25,40,51,1.33,CN,1678245499
90,Nevel'sk,46.6733,141.8633,1.56,99,100,5.84,RU,1678245502
91,Marquette,46.5333,-87.6335,-3.31,90,70,1.37,US,1678245503
92,Weihai,37.5017,122.1136,8.25,80,0,5.22,CN,1678245505
93,Alibag,18.6411,72.8792,28.04,48,5,2.51,IN,1678245506
94,Sorong,-0.8833,131.25,28.16,73,46,2.59,ID,1678245508
95,Griffith,41.5284,-87.4237,3.96,76,0,6.17,US,1678245510
96,Boussé,12.6606,-1.8922,25.23,8,58,4.25,BF,1678245511
97,Saint-Michel-des-Saints,46.6834,-73.9159,-7.26,92,100,4.51,CA,1678245513
98,Provideniya,64.3833,-173.3,-10.79,96,93,1.45,RU,1678245514
99,Busselton,-33.65,115.3333,25.2,36,100,4.15,AU,1678245515
100,Dikson,73.5069,80.5464,-38.28,99,36,2.0,RU,1678245516
101,Radcliff,37.8404,-85.9491,7.46,52,100,4.63,US,1678245518
102,Ichinohe,40.2069,141.3017,14.36,54,24,5.17,JP,1678245519
103,Tataouine,32.9297,10.4518,14.95,49,36,3.63,TN,1678245520
104,Esperance,-33.8667,121.9,20.28,60,85,3.59,AU,1678245522
105,Hermanus,-34.4187,19.2345,18.11,86,56,4.08,ZA,1678245524
106,Petropavlovsk-Kamchatskiy,53.0452,158.6483,-3.67,93,100,2.0,RU,1678245516
107,Hervey Bay,-25.2986,152.8535,26.99,70,55,6.22,AU,1678245528
108,Las Juntas,19.4167,-104.7,17.49,89,0,0.41,MX,1678245529
109,Vilshofen,48.6333,13.1833,3.29,76,96,3.38,DE,1678245530
110,Andenes,69.3143,16.1194,-8.93,67,0,4.12,NO,1678245531
111,Zogno,45.7919,9.6562,7.23,84,11,2.57,IT,1678245533
112,Sinnamary,5.3833,-52.95,24.72,87,96,4.31,GF,1678245534
113,Sirte,31.2089,16.5887,15.73,73,4,4.76,LY,1678245535
114,Vuktyl,63.8567,57.3094,-23.01,98,100,1.17,RU,1678245537
115,Nemuro,43.3236,145.575,2.26,91,70,7.33,JP,1678245538
116,Williston,48.147,-103.618,-12.33,81,99,5.08,US,1678245537
117,Santa Catarina de Tepehuanes,25.35,-105.7333,14.11,23,91,3.55,MX,1678245540
118,George Town,5.4112,100.3354,29.96,54,20,2.57,MY,1678245322
119,Tuktoyaktuk,69.4541,-133.0374,-24.0,84,20,8.75,CA,1678245544
120,Yellowknife,62.456,-114.3525,-16.71,66,75,4.63,CA,1678245545
121,Kovdor,67.5662,30.4758,-17.89,99,100,1.11,RU,1678245335
122,Pevek,69.7008,170.3133,-29.0,92,12,0.82,RU,1678245548
123,Torbay,47.6666,-52.7314,1.82,96,100,7.6,CA,1678245354
124,Hilo,19.7297,-155.09,27.28,78,0,2.06,US,1678245550
125,Litija,46.0586,14.8225,6.36,93,100,1.03,SI,1678245552
126,Chokurdakh,70.6333,147.9167,-32.38,98,81,1.26,RU,1678245553
127,Arraial do Cabo,-22.9661,-42.0278,24.57,90,100,10.09,BR,1678245554
128,Yoichi,43.2039,140.7703,9.62,76,27,4.46,JP,1678245556
129,Palmer,42.1584,-72.3287,-1.25,59,75,4.63,US,1678245557
130,Lang Suan,9.9456,99.0785,28.52,64,67,4.62,TH,1678245558
131,Shimoda,34.6667,138.95,19.5,42,0,5.17,JP,1678245560
132,Makīnsk,52.6292,70.4169,-6.47,88,99,7.11,KZ,1678245561
133,Areia Branca,-4.9561,-37.1369,26.57,74,79,7.03,BR,1678245562
134,Borovskoy,53.8,64.15,-12.71,91,10,4.25,KZ,1678245564
135,Mossamedes,-15.1961,12.1522,20.48,85,99,1.77,AO,1678245565
136,Matadi,-5.8167,13.45,23.37,94,100,0.95,CD,1678245566
137,Emirdağ,39.0197,31.15,3.86,85,60,2.17,TR,1678245568
138,Samur,41.8253,48.486,2.7,77,100,2.27,RU,1678245570
139,Carnarvon,-24.8667,113.6333,31.14,49,0,4.52,AU,1678245572
